Time,dH_dt_Numerical,Kinematic_Sink,Fisher_Information,RHS_Theoretical
0.730000,-0.054003,-0.500000,0.446240,-0.053760
0.740000,-0.053523,-0.500000,0.446718,-0.053282
0.750000,-0.053047,-0.500000,0.447192,-0.052808
0.760000,-0.052575,-0.500000,0.447663,-0.052337
0.770000,-0.052106,-0.500000,0.448130,-0.051870
0.780000,-0.051641,-0.500000,0.448593,-0.051407
0.790000,-0.051180,-0.500000,0.449052,-0.050948
0.800000,-0.050722,-0.500000,0.449508,-0.050492
0.810000,-0.050268,-0.500000,0.449960,-0.050040
0.820000,-0.049818,-0.500000,0.450409,-0.049591
0.830000,-0.049371,-0.500000,0.450853,-0.049147
0.840000,-0.048928,-0.500000,0.451295,-0.048705
0.850000,-0.048488,-0.500000,0.451733,-0.048267
0.860000,-0.048052,-0.500000,0.452167,-0.047833
0.870000,-0.047620,-0.500000,0.452598,-0.047402
0.880000,-0.047190,-0.500000,0.453025,-0.046975
0.890000,-0.046765,-0.500000,0.453449,-0.046551
0.900000,-0.046343,-0.500000,0.453870,-0.046130
0.910000,-0.045924,-0.500000,0.454287,-0.045713
0.920000,-0.045508,-0.500000,0.454700,-0.045300
0.930000,-0.045096,-0.500000,0.455111,-0.044889
0.940000,-0.044688,-0.500000,0.455518,-0.044482
0.950000,-0.044283,-0.500000,0.455921,-0.044079
0.960000,-0.043881,-0.500000,0.456322,-0.043678
0.970000,-0.043482,-0.500000,0.456719,-0.043281
0.980000,-0.043086,-0.500000,0.457112,-0.042888
0.990000,-0.042694,-0.500000,0.457503,-0.042497
1.000000,-0.042305,-0.500000,0.457890,-0.042110
1.010000,-0.041920,-0.500000,0.458274,-0.041726
1.020000,-0.041537,-0.500000,0.458655,-0.041345
1.030000,-0.041158,-0.500000,0.459033,-0.040967
1.040000,-0.040782,-0.500000,0.459407,-0.040593
1.050000,-0.040409,-0.500000,0.459779,-0.040221
1.060000,-0.040039,-0.500000,0.460147,-0.039853
1.070000,-0.039672,-0.500000,0.460512,-0.039488
1.080000,-0.039308,-0.500000,0.460874,-0.039126
1.090000,-0.038948,-0.500000,0.461234,-0.038766
1.100000,-0.038590,-0.500000,0.461590,-0.038410
1.110000,-0.038235,-0.500000,0.461943,-0.038057
1.120000,-0.037884,-0.500000,0.462293,-0.037707
1.130000,-0.037535,-0.500000,0.462640,-0.037360
1.140000,-0.037189,-0.500000,0.462984,-0.037016
1.150000,-0.036847,-0.500000,0.463326,-0.036674
1.160000,-0.036507,-0.500000,0.463664,-0.036336
1.170000,-0.036170,-0.500000,0.464000,-0.036000
1.180000,-0.035836,-0.500000,0.464332,-0.035668
1.190000,-0.035504,-0.500000,0.464662,-0.035338
1.200000,-0.035176,-0.500000,0.464989,-0.035011
1.210000,-0.034850,-0.500000,0.465313,-0.034687
1.220000,-0.034527,-0.500000,0.465635,-0.034365
1.230000,-0.034207,-0.500000,0.465953,-0.034047
1.240000,-0.033890,-0.500000,0.466269,-0.033731
1.250000,-0.033576,-0.500000,0.466583,-0.033417
1.260000,-0.033264,-0.500000,0.466893,-0.033107
1.270000,-0.032954,-0.500000,0.467201,-0.032799
1.280000,-0.032648,-0.500000,0.467506,-0.032494
1.290000,-0.032344,-0.500000,0.467809,-0.032191
1.300000,-0.032043,-0.500000,0.468109,-0.031891
1.310000,-0.031744,-0.500000,0.468406,-0.031594
1.320000,-0.031448,-0.500000,0.468700,-0.031300
1.330000,-0.031155,-0.500000,0.468993,-0.031007
1.340000,-0.030864,-0.500000,0.469282,-0.030718
1.350000,-0.030576,-0.500000,0.469569,-0.030431
1.360000,-0.030290,-0.500000,0.469854,-0.030146
1.370000,-0.030006,-0.500000,0.470136,-0.029864
1.380000,-0.029726,-0.500000,0.470415,-0.029585
1.390000,-0.029447,-0.500000,0.470693,-0.029307
1.400000,-0.029171,-0.500000,0.470967,-0.029033
1.410000,-0.028898,-0.500000,0.471240,-0.028760
1.420000,-0.028627,-0.500000,0.471509,-0.028491
1.430000,-0.028358,-0.500000,0.471777,-0.028223
1.440000,-0.028092,-0.500000,0.472042,-0.027958
1.450000,-0.027828,-0.500000,0.472305,-0.027695
1.460000,-0.027566,-0.500000,0.472565,-0.027435
1.470000,-0.027307,-0.500000,0.472823,-0.027177
1.480000,-0.027050,-0.500000,0.473079,-0.026921
1.490000,-0.026795,-0.500000,0.473333,-0.026667
1.500000,-0.026543,-0.500000,0.473584,-0.026416
1.510000,-0.026292,-0.500000,0.473833,-0.026167
1.520000,-0.026044,-0.500000,0.474080,-0.025920
1.530000,-0.025799,-0.500000,0.474325,-0.025675
1.540000,-0.025555,-0.500000,0.474567,-0.025433
1.550000,-0.025314,-0.500000,0.474808,-0.025192
1.560000,-0.025074,-0.500000,0.475046,-0.024954
1.570000,-0.024837,-0.500000,0.475282,-0.024718
1.580000,-0.024602,-0.500000,0.475516,-0.024484
1.590000,-0.024369,-0.500000,0.475748,-0.024252
1.600000,-0.024139,-0.500000,0.475977,-0.024023
1.610000,-0.023910,-0.500000,0.476205,-0.023795
1.620000,-0.023683,-0.500000,0.476431,-0.023569
1.630000,-0.023459,-0.500000,0.476654,-0.023346
1.640000,-0.023236,-0.500000,0.476876,-0.023124
1.650000,-0.023015,-0.500000,0.477095,-0.022905
1.660000,-0.022797,-0.500000,0.477313,-0.022687
1.670000,-0.022580,-0.500000,0.477529,-0.022471
1.680000,-0.022366,-0.500000,0.477742,-0.022258
1.690000,-0.022153,-0.500000,0.477954,-0.022046
1.700000,-0.021942,-0.500000,0.478164,-0.021836
1.710000,-0.021733,-0.500000,0.478372,-0.021628
1.720000,-0.021526,-0.500000,0.478578,-0.021422
1.730000,-0.021321,-0.500000,0.478782,-0.021218
1.740000,-0.021118,-0.500000,0.478984,-0.021016
1.750000,-0.020917,-0.500000,0.479184,-0.020816
1.760000,-0.020717,-0.500000,0.479383,-0.020617
1.770000,-0.020520,-0.500000,0.479580,-0.020420
1.780000,-0.020324,-0.500000,0.479775,-0.020225
1.790000,-0.020130,-0.500000,0.479968,-0.020032
1.800000,-0.019937,-0.500000,0.480159,-0.019841
1.810000,-0.019747,-0.500000,0.480349,-0.019651
1.820000,-0.019558,-0.500000,0.480537,-0.019463
1.830000,-0.019371,-0.500000,0.480723,-0.019277
1.840000,-0.019185,-0.500000,0.480908,-0.019092
1.850000,-0.019002,-0.500000,0.481090,-0.018910
1.860000,-0.018820,-0.500000,0.481272,-0.018728
1.870000,-0.018640,-0.500000,0.481451,-0.018549
1.880000,-0.018461,-0.500000,0.481629,-0.018371
1.890000,-0.018284,-0.500000,0.481805,-0.018195
1.900000,-0.018109,-0.500000,0.481980,-0.018020
1.910000,-0.017935,-0.500000,0.482152,-0.017848
1.920000,-0.017763,-0.500000,0.482324,-0.017676
1.930000,-0.017592,-0.500000,0.482493,-0.017507
1.940000,-0.017423,-0.500000,0.482662,-0.017338
1.950000,-0.017256,-0.500000,0.482828,-0.017172
1.960000,-0.017090,-0.500000,0.482993,-0.017007
1.970000,-0.016926,-0.500000,0.483157,-0.016843
1.980000,-0.016763,-0.500000,0.483319,-0.016681
1.990000,-0.016602,-0.500000,0.483479,-0.016521
2.000000,-0.016442,-0.500000,0.483638,-0.016362
2.010000,-0.016284,-0.500000,0.483796,-0.016204
2.020000,-0.016127,-0.500000,0.483952,-0.016048
2.030000,-0.015971,-0.500000,0.484107,-0.015893
2.040000,-0.015818,-0.500000,0.484260,-0.015740
2.050000,-0.015665,-0.500000,0.484411,-0.015589
2.060000,-0.015514,-0.500000,0.484562,-0.015438
2.070000,-0.015364,-0.500000,0.484711,-0.015289
2.080000,-0.015216,-0.500000,0.484858,-0.015142
2.090000,-0.015069,-0.500000,0.485004,-0.014996
2.100000,-0.014924,-0.500000,0.485149,-0.014851
2.110000,-0.014780,-0.500000,0.485293,-0.014707
2.120000,-0.014637,-0.500000,0.485435,-0.014565
2.130000,-0.014496,-0.500000,0.485575,-0.014425
2.140000,-0.014355,-0.500000,0.485715,-0.014285
2.150000,-0.014217,-0.500000,0.485853,-0.014147
2.160000,-0.014079,-0.500000,0.485990,-0.014010
2.170000,-0.013943,-0.500000,0.486125,-0.013875
2.180000,-0.013808,-0.500000,0.486260,-0.013740
2.190000,-0.013674,-0.500000,0.486393,-0.013607
2.200000,-0.013542,-0.500000,0.486524,-0.013476
2.210000,-0.013411,-0.500000,0.486655,-0.013345
2.220000,-0.013281,-0.500000,0.486784,-0.013216
2.230000,-0.013152,-0.500000,0.486912,-0.013088
2.240000,-0.013025,-0.500000,0.487039,-0.012961
2.250000,-0.012899,-0.500000,0.487165,-0.012835
2.260000,-0.012774,-0.500000,0.487289,-0.012711
2.270000,-0.012650,-0.500000,0.487413,-0.012587
2.280000,-0.012527,-0.500000,0.487535,-0.012465
2.290000,-0.012405,-0.500000,0.487656,-0.012344
2.300000,-0.012285,-0.500000,0.487776,-0.012224
2.310000,-0.012166,-0.500000,0.487894,-0.012106
2.320000,-0.012048,-0.500000,0.488012,-0.011988
2.330000,-0.011931,-0.500000,0.488128,-0.011872
2.340000,-0.011815,-0.500000,0.488244,-0.011756
2.350000,-0.011700,-0.500000,0.488358,-0.011642
2.360000,-0.011586,-0.500000,0.488471,-0.011529
2.370000,-0.011473,-0.500000,0.488583,-0.011417
2.380000,-0.011362,-0.500000,0.488694,-0.011306
2.390000,-0.011251,-0.500000,0.488804,-0.011196
2.400000,-0.011142,-0.500000,0.488913,-0.011087
2.410000,-0.011033,-0.500000,0.489021,-0.010979
2.420000,-0.010926,-0.500000,0.489128,-0.010872
2.430000,-0.010820,-0.500000,0.489234,-0.010766
2.440000,-0.010714,-0.500000,0.489339,-0.010661
2.450000,-0.010610,-0.500000,0.489442,-0.010558
2.460000,-0.010507,-0.500000,0.489545,-0.010455
2.470000,-0.010404,-0.500000,0.489647,-0.010353
2.480000,-0.010303,-0.500000,0.489748,-0.010252
2.490000,-0.010202,-0.500000,0.489848,-0.010152
2.500000,-0.010103,-0.500000,0.489947,-0.010053
